Frequency,Amplitude,sex
714,118,M
58,736,M
524,930,M
134,476,M
160,286,M
484,671,M
100,324,M
278,845,M
48,998,M
165,432,M
207,295,M
203,304,M
109,282,M
113,662,M
210,308,M
135,866,M
431,297,M
100,398,M
488,111,M
120,196,M
481,82,M
225,962,M
117,1145,M
99,111,M
198,262,M
660,309,M
464,670,M
122,568,M
113,410,M
160,614,M
37,384,M
393,650,M
486,730,M
140,570,M
950,339,M
603,260,M
442,896,M
110,550,M
120,87,M
234,124,M
96,674,M
62,265,M
138,590,M
540,439,M
103,233,M
50,156,M
116,395,M
251,237,F
243,191,F
882,119,F
419,332,F
218,489,F
499,252,F
218,1055,F
237,1008,F
218,274,F
42,522,F
269,263,F
226,433,F
253,715,F
200,359,F
190,90,F
189,75,F
231,44,F
242,990,F
576,244,F
172,240,F
202,339,F
283,310,F
220,40,F
478,658,F
465,506,F
976,511,F
457,535,F
1175,736,F
748,563,F
556,508,F
1176,302,F
433,631,F
100,667,F
48,783,F
47,433,F
215,677,F
487,335,F
48,753,F
594,491,F
214,308,F
176,125,F
